Name,Type,Location,Ratings,Reviews,Menu_Price,Pax,Rooms,Amenities
VJ Banquet Hall,"Banquet Halls, Venues With Rooms","Aminabad, Lucknow ",4.9,17 reviews,₹500per plate,120-200,11,+5 more
Scorpio Club,"Banquet Halls, Marriage Garden / Lawns",Lucknow ,4.8,4 reviews,"₹1,399per plate",50-1200,82,+4 more
Shahi Bhavan,Wedding Farmhouses,Lucknow ,5.0,1 review,Price on Request,100-150,7,+3 more
"Swarn Mahal, The Banquet","Banquet Halls, Marriage Garden / Lawns","Khatipura, Jaipur ",5.0,4 reviews,"₹1,500per plate",30-500,40,+3 more
Samskara Resort & Spa,"4 Star & Above Wedding Hotels, Banquet Halls","Sanganer, Jaipur ",5.0,2 reviews,"₹1,500per plate",75-800,50,+3 more
Renest Jaipur Lawn,"Banquet Halls, 3 Star Hotels with Banquets","New Sanganer Road Mansarover, Jaipur ",5.0,1 review,₹900per plate,40-300,80,+4 more
NEST JAIPUR LUXURY HOTELS AND RESORTS,"4 Star & Above Wedding Hotels, Banquet Halls","Sanganer, Jaipur ",5.0,5 reviews,"₹2,500per plate",100-2500,107,+3 more
Hotel Maharaja Palace,"Marriage Garden / Lawns, 3 Star Hotels with Banquets","Chomu, Jaipur ",5.0,5 reviews,"₹2,000per plate",100-150,21,+4 more
Chokhi Dhani Resort,"4 Star & Above Wedding Hotels, Banquet Halls","Sitapura, Jaipur ",5.0,2 reviews,"₹2,500per plate",,,+2 more
"Roop Garh Palace, Jaipur","Marriage Garden / Lawns, 3 Star Hotels with Banquets",Jaipur ,5.0,1 review,"₹8,00,000per function",1000-1500,100,+4 more
Sunrise Resort,"Banquet Halls, Marriage Garden / Lawns",Jaipur ,4.8,6 reviews,"₹1,800per plate",250-800,92,+3 more
DoubleTree by Hilton Jaipur Amer,"Banquet Halls, Marriage Garden / Lawns","Kukas, Jaipur ",5.0,1 review,"₹3,000per plate",30-1500,151,+3 more
All Starr Club,"Banquet Halls, 3 Star Hotels with Banquets","Sanganer, Jaipur ",4.9,13 reviews,₹900per plate,300-380,20,+6 more
Hotel Raj Bagh Palace,"4 Star & Above Wedding Hotels, Banquet Halls","Amer, Jaipur ",4.8,7 reviews,"₹2,000per plate",75-3000,60,+3 more
Diggi Palace – A Heritage Hotel,"4 Star & Above Wedding Hotels, Banquet Halls","Jawahar Nagar, Jaipur ",5.0,3 reviews,"₹2,000per plate",120-1200,75,+4 more
Kothi Lohagarh,"Banquet Halls, Marriage Garden / Lawns",Jaipur ,5.0,1 review,"₹1,50,000per function",50-400,15,+4 more
Hotel Fortune Prime,"Banquet Halls, Marriage Garden / Lawns",Jaipur ,5.0,2 reviews,"₹1,000per plate",1000-1500,31,+3 more
Hotel Anju Shree Inn,"Banquet Halls, 3 Star Hotels with Banquets",Jaipur ,5.0,4 reviews,₹700per plate,200-250,20,+3 more
The Lalit Jaipur,"4 Star & Above Wedding Hotels, Banquet Halls","Ajmer Road, Jaipur ",4.8,12 reviews,"₹2,100per plate",50-800,231,+3 more
Rudra Vilas,"Banquet Halls, Marriage Garden / Lawns","Mansarovar, Jaipur ",4.8,2 reviews,"₹1,000per plate",140-700,45,+4 more
Castle Kalwar,"Banquet Halls, Marriage Garden / Lawns","Kalwar Road, Jaipur ",4.7,3 reviews,"₹1,200per plate",30-300,25,+4 more
Indana Palace,"4 Star & Above Wedding Hotels, Banquet Halls","Amer, Jaipur ",4.9,8 reviews,"₹2,950per plate",45-1000,118,+4 more
The Sparkle Farm House,"Banquet Halls, 3 Star Hotels with Banquets",Jaipur ,5.0,3 reviews,₹700per plate,500-800,20,+4 more
Madhuvan Banquet & Lawn Raj Nagar Ghaziabad,"Banquet Halls, Marriage Garden / Lawns",Delhi NCR ,4.8,10 reviews,"₹1,000per plate",150-250,3,+4 more
Lemon Tree Hotel Sector 60,"4 Star & Above Wedding Hotels, Banquet Halls","Gurgaon, Delhi NCR ",5.0,13 reviews,"₹1,800per plate",40-500,258,+4 more
Eternal Oasis,"Banquet Halls, Marriage Garden / Lawns",Delhi NCR ,5.0,4 reviews,"₹2,300per plate",50-500,30,+3 more
Royal Imperio,"Banquet Halls, Marriage Garden / Lawns","Sector 39, Delhi NCR ",4.6,35 reviews,"₹1,800per plate",40-500,31,+6 more
Botanix Nature Resort,"Banquet Halls, Marriage Garden / Lawns","Sohna Road, Delhi NCR ",5.0,5 reviews,"₹2,700per plate",600-1000,40,+4 more
The Roman Palace Banquet (Veg only),"Banquet Halls, Small Function / Party Halls","Noida, Delhi NCR ",,4 reviews,"₹1,350per plate",75-900,,+2 more
The Bristol Hotel,"4 Star & Above Wedding Hotels, Banquet Halls","DLF Phase 1, Delhi NCR ",,29 reviews,"₹2,700per plate",50-1200,83,+4 more
Ganeshwaram Restaurant & Banquet Sec-104,"Banquet Halls, 3 Star Hotels with Banquets",Delhi NCR ,5.0,1 review,"₹1,100per plate",90-150,,+2 more
Devam Green by Primerose,"Banquet Halls, Marriage Garden / Lawns","Bandhwari, Delhi NCR ",4.6,22 reviews,"₹1,650per plate",600-1000,2,+6 more
Ganeshwaram Restaurant and Banquet,"Banquet Halls, 3 Star Hotels with Banquets",Delhi NCR ,5.0,1 review,"₹1,100per plate",70-100,30,+3 more
The Grand Opera Banquet,"Banquet Halls, Party Restaurants / Lounge Bars","Indirapuram, Delhi NCR ",5.0,6 reviews,"₹1,800per plate",200-250,1,+3 more
Root Farms,"Banquet Halls, Marriage Garden / Lawns",Delhi NCR ,5.0,9 reviews,"₹1,500per plate",100-2000,12,+4 more
Golden Suites Gurgaon | Inde Hotels & Resorts,"Banquet Halls, Marriage Garden / Lawns","Gurgaon, Delhi NCR ",,23 reviews,"₹2,449per plate",20-350,125,+5 more
Royal Swan Banquet,"Banquet Halls, Marriage Garden / Lawns",Delhi NCR ,,24 reviews,"₹1,900per plate",75-1000,2,+6 more
Rhythm Gurugram,"4 Star & Above Wedding Hotels, Banquet Halls","Gurgaon, Delhi NCR ",5.0,9 reviews,"₹1,450per plate",30-300,103,+4 more
The Grand Taj Banquet & Conventions,"Banquet Halls, Small Function / Party Halls","Gurgaon, Delhi NCR ",5.0,2 reviews,"₹2,100per plate",400-600,2,+3 more
Ramada by Wyndham Gurgaon Central,"4 Star & Above Wedding Hotels, Banquet Halls","Sushant Lok, Delhi NCR ",5.0,6 reviews,"₹2,500per plate",40-1000,94,+4 more
Hilltop Greens Surajkund,"Banquet Halls, Marriage Garden / Lawns","Faridabad, Delhi NCR ",4.7,26 reviews,"₹1,500per plate",50-1800,4,+7 more
White Rose Hotel,"4 Star & Above Wedding Hotels, Banquet Halls","Vasundhara, Delhi NCR ",,21 reviews,"₹2,500per plate",300-500,80,+3 more
Kaara - Gurgaon,"Banquet Halls, Marriage Garden / Lawns",Delhi NCR ,5.0,2 reviews,"₹1,300per plate",150-200,30,+3 more
"Welcomhotel by ITC Hotels, GST Road, Chennai","4 Star & Above Wedding Hotels, Banquet Halls",Chennai ,5.0,5 reviews,"₹1,500per plate",100-600,171,+4 more
The Vijay Park Alandur,"Banquet Halls, 3 Star Hotels with Banquets","Alandur, Chennai ",,1 review,₹650per plate,200-300,87,+3 more
House by The Bay,"Marriage Garden / Lawns, Wedding Farmhouses","Injambakkam, Chennai ",5.0,1 review,Price on Request,75-100,2,+3 more
PRN Thirumana Mandapam,Banquet Halls,Chennai ,5.0,1 review,Price on Request,1200-2000,,+2 more
Swathi Mahal,Banquet Halls,"Mathur, Chennai ",5.0,1 review,₹200per plate,250-300,,+2 more
Thangam Maligai,Banquet Halls,"Tondiarpet, Chennai ",5.0,1 review,₹400per plate,800-1200,,+2 more
Surabhi Palace Wedding Hall,Banquet Halls,"Chromepet, Chennai ",5.0,1 review,₹500per plate,600-900,,+2 more
Friends Park Ammachi Party Hall & Restaurant,"Banquet Halls, Marriage Garden / Lawns","Valasaravakkam, Chennai ",5.0,1 review,₹250per plate,250-450,,+2 more
Radha Regent,"Banquet Halls, 3 Star Hotels with Banquets","Koyambedu, Chennai ",5.0,2 reviews,₹999per plate,999-999,91,+3 more
Kammavar Kalyana Mahal,"Banquet Halls, Kalyana Mandapams","Purasawakkam, Chennai ",5.0,1 review,₹350per plate,500-750,,+2 more
Kay-Em Spectra Hotel,"Banquet Halls, 3 Star Hotels with Banquets",Chennai ,4.5,1 review,"₹1,450per plate",500-900,84,+3 more
Sigaram Celebrations The Banquet Hall,Banquet Halls,"Vadapalani, Chennai ",5.0,1 review,"₹1,500per plate",300-500,,+1 more
KVN Kalyana Mandapam,"Banquet Halls, Kalyana Mandapams","Poonamallee, Chennai ",5.0,1 review,₹350per plate,700-1050,14,+3 more
PR Palace Wedding Hall & Convention Centre,Banquet Halls,"Kovilambakkam, Chennai ",4.5,2 reviews,₹499per plate,90-1100,,+2 more
Utsava Halls,Banquet Halls,"Alwarpet, Chennai ",5.0,2 reviews,₹350per plate,250-400,,+2 more
Dhanalakshmi Mahal,"Banquet Halls, Kalyana Mandapams","Redhills, Chennai ",5.0,1 review,₹450per plate,,,+1 more
Soundrapandian Kalyana Mandapam,"Banquet Halls, Venues With Rooms",Chennai ,5.0,1 review,"₹2,50,000per function",450-600,8,+4 more
Hotel Halez,"Banquet Halls, 3 Star Hotels with Banquets","Sholinganallur, Chennai ",5.0,4 reviews,"₹1,100per plate",50-500,109,+3 more
AVM Garden Villa,"Banquet Halls, Marriage Garden / Lawns","Vadapalani, Chennai ",5.0,4 reviews,"₹1,25,000per function",120-800,,+3 more
Sri Ganesh Thirumana Mandapam,Banquet Halls,"Pammal, Chennai ",5.0,1 review,₹350per plate,900-1350,,+2 more
"Sorina Hillside Resort, Sinhagad Road","Banquet Halls, Marriage Garden / Lawns",Pune ,5.0,4 reviews,"₹1,050per plate",100-1000,120,+3 more
Istana,"Banquet Halls, 3 Star Hotels with Banquets","Kalyani Nagar, Pune ",5.0,1 review,"₹1,700per plate",220-400,209,+3 more
"Courtyard by Marriott, Hinjewadi","4 Star & Above Wedding Hotels, Banquet Halls","Hinjewadi, Pune ",4.9,6 reviews,"₹1,650per plate",1050-1200,153,+3 more
"G L Apte Sabhagruha, Deccan Gymkhana, Pune","Banquet Halls, Convention / Function Halls",Pune ,5.0,1 review,₹350per plate,400-600,,+2 more
Neo Woods,"Banquet Halls, Marriage Garden / Lawns","Pimpri, Pune ",5.0,1 review,Price on Request,300-800,,+2 more
Chokhi Dhani,"Banquet Halls, Marriage Garden / Lawns","Wagholi, Pune ",5.0,1 review,₹350per plate,350-2700,40,+3 more
Sayaji,"4 Star & Above Wedding Hotels, 3 Star Hotels with Banquets","Wakad, Pune ",,5 reviews,₹700per plate,700-800,,+2 more
Whispering Woods Resort,"Marriage Garden / Lawns, Wedding Resorts",Pune ,,4 reviews,"₹2,500per plate",60-3000,31,+3 more
Bhagvati Palace,"Banquet Halls, Convention / Function Halls",Pune ,,6 reviews,₹350per plate,350-350,,+2 more
Ganesh Mangal Karyalaya,Banquet Halls,Pune ,5.0,1 review,"₹50,000per function",130-160,,+3 more
Four Points by Sheraton Hotel Pune,"4 Star & Above Wedding Hotels, Banquet Halls",Pune ,4.5,11 reviews,"₹1,700per plate",140-400,217,+2 more
Della Resort,"4 Star & Above Wedding Hotels, Banquet Halls",Pune ,4.8,8 reviews,"₹3,000per plate",,,+3 more
"Dhanashree Lawns, Kunjirwadi","Banquet Halls, Marriage Garden / Lawns",Pune ,5.0,1 review,₹450per plate,1000-3700,,+2 more
Fairfield by Marriott Pune,"4 Star & Above Wedding Hotels, Banquet Halls",Pune ,5.0,1 review,Price on Request,50-150,109,+3 more
Avanti Kalagram,"Marriage Garden / Lawns, Destination Wedding Venues",Pune ,5.0,2 reviews,₹550per plate,50-150,50,+3 more
"Citrus , Lonavala","Banquet Halls, Marriage Garden / Lawns",Pune ,5.0,1 review,₹900per plate,150-200,35,+3 more
Urban Banquets,"Banquet Halls, Venues With Rooms","Yerawada, Pune ",5.0,6 reviews,₹800per plate,300-550,2,+4 more
CMS Kerala Bhavan,"Banquet Halls, Convention / Function Halls","Kasba Peth, Pune ",5.0,1 review,Price on Request,400-500,,+2 more
"Treasure Island Resorts, Lonavala","Banquet Halls, Wedding Resorts",Pune ,5.0,1 review,"₹2,000per plate",150-600,97,+3 more
Sanvi Resort,Wedding Resorts,Pune ,5.0,1 review,₹300per plate,45-500,14,+3 more
Hotel Crossroad,"Banquet Halls, 3 Star Hotels with Banquets",Lucknow ,5.0,16 reviews,"₹1,200per plate",,,+3 more
"Haveli Resort, Kanpur Road","Banquet Halls, Marriage Garden / Lawns","Kanpur Road, Lucknow ",,1 review,"₹1,00,000per function",,,+2 more
Legend Inn,"Banquet Halls, 3 Star Hotels with Banquets","Gomti Nagar, Lucknow ",4.7,31 reviews,₹900per plate,200-200,36,+5 more
Shimla Resort Lucknow,"Banquet Halls, Marriage Garden / Lawns",Lucknow ,4.7,5 reviews,"₹1,100per plate",500-2000,25,+3 more
SureStay By Best Western,"4 Star & Above Wedding Hotels, Banquet Halls",Lucknow ,,,"₹1,100per plate",150-250,30,+3 more
"The Central Hotel, Lucknow","Banquet Halls, 3 Star Hotels with Banquets","Aminabad, Lucknow ",,1 review,₹525per plate,50-400,35,+3 more
Madhurima Hotel,"Banquet Halls, 3 Star Hotels with Banquets","Gomti Nagar, Lucknow ",5.0,1 review,₹850per plate,,,+2 more
Hotel Syona Residency,"Banquet Halls, 3 Star Hotels with Banquets","Charbagh, Lucknow ",,1 review,₹850per plate,300-500,65,+3 more
SRT Grand Palace,"Banquet Halls, Convention / Function Halls",Lucknow ,5.0,3 reviews,Price on Request,800-1000,,+3 more
"Ramada, Lucknow","4 Star & Above Wedding Hotels, Banquet Halls","Kanpur Road, Lucknow ",4.7,9 reviews,"₹3,299per plate",200-1000,155,+3 more
Royal Casa Hotels and Banquet,Banquet Halls,"Rajajipuram, Lucknow ",5.0,1 review,₹700per plate,200-300,6,+3 more
Geet Paradise Lawn,Marriage Garden / Lawns,Lucknow ,5.0,3 reviews,"₹1,20,000per function",700-1500,2,+4 more
Shyam Shanti Guest House,Banquet Halls,Lucknow ,,,₹680per plate,200-500,,+2 more
Hotel Millenia Regency,"4 Star & Above Wedding Hotels, Banquet Halls",Lucknow ,,2 reviews,"₹1,000per plate",90-200,60,+3 more
Smriti Banquet Hall,"Banquet Halls, Convention / Function Halls","Ashiyana, Lucknow ",5.0,1 review,₹800per plate,50-600,7,+3 more
Vaidik Garden,"Banquet Halls, Marriage Garden / Lawns",Lucknow ,5.0,1 review,₹500per plate,500-700,,+2 more
Hotel Arif Castles,"Banquet Halls, Marriage Garden / Lawns",Lucknow ,5.0,1 review,"₹1,250per plate",,,+2 more
Vivanta By Taj Lucknow,"4 Star & Above Wedding Hotels, Banquet Halls","Gomti Nagar, Lucknow ",5.0,2 reviews,"₹1,300per plate",400-600,66,+3 more
Hotel Venus Palace & Lawn,"Banquet Halls, Marriage Garden / Lawns",Lucknow ,,,"₹1,10,000per function",450-500,8,+4 more
Utopian Luxe Hotel,"Banquet Halls, 3 Star Hotels with Banquets",Lucknow ,,1 review,"₹1,600per plate",70-450,61,+3 more
Hilton Jaipur,"4 Star & Above Wedding Hotels, Banquet Halls",Jaipur ,5.0,3 reviews,"₹1,500per plate",,,+2 more
Bhatia Bhawan,"Banquet Halls, Marriage Garden / Lawns","Jawahar Nagar, Jaipur ",5.0,1 review,₹500per plate,500-1600,24,+3 more
Utsav Grand Banquet and Lawns,"Banquet Halls, Marriage Garden / Lawns","Vaishali Nagar, Jaipur ",5.0,2 reviews,₹650per plate,350-2000,,+3 more
Glorious Resort,"Banquet Halls, Marriage Garden / Lawns",Jaipur ,5.0,2 reviews,₹700per plate,600-3000,35,+3 more
Chanda Farm House,Marriage Garden / Lawns,"Sanganer, Jaipur ",5.0,1 review,Price on Request,450-700,,+2 more
The Oberoi Rajvilas,"4 Star & Above Wedding Hotels, Banquet Halls","Sanganer, Jaipur ",5.0,2 reviews,"₹3,000per plate",70-150,71,+3 more
Samurai Farms,Marriage Garden / Lawns,Jaipur ,5.0,1 review,₹850per plate,1250-2000,,+2 more
The Palace by Park Jewels Hotels and Resorts,"4 Star & Above Wedding Hotels, Banquet Halls","Ajmer Road, Jaipur ",4.9,7 reviews,"₹2,500per plate",50-1000,136,+4 more
Vijay Villa Marriage Garden,Marriage Garden / Lawns,"Amer Road, Jaipur ",5.0,1 review,Price on Request,500-600,,+2 more
"Sarovar Premiere, Jaipur","4 Star & Above Wedding Hotels, Banquet Halls","Lal Kothi, Jaipur ",5.0,1 review,₹900per plate,,,+2 more
Maan Palace,Marriage Garden / Lawns,Jaipur ,5.0,3 reviews,"₹6,00,000per function",800-1000,,+3 more
Leisure Inn Grand Chanakya,"4 Star & Above Wedding Hotels, Banquet Halls",Jaipur ,4.8,5 reviews,₹850per plate,12-350,52,+3 more
Hill Side Resort,"Banquet Halls, Marriage Garden / Lawns","Jamdoli, Jaipur ",4.8,2 reviews,"₹1,000per plate",,,+2 more
Hotel Mauj Mahal,"Banquet Halls, Marriage Garden / Lawns",Jaipur ,,1 review,"₹1,200per plate",500-4500,35,+3 more
Fairmont Jaipur,"4 Star & Above Wedding Hotels, Banquet Halls","Kukas, Jaipur ",4.8,37 reviews,"₹4,300per plate",500-700,245,+4 more
Mannat Marriage Garden & Banquet Hall,"Banquet Halls, Marriage Garden / Lawns","Gopalpura, Jaipur ",5.0,1 review,₹800per plate,200-2000,,+2 more
Lebua Resort,"Marriage Garden / Lawns, Wedding Farmhouses",Jaipur ,4.5,2 reviews,"₹1,800per plate",1000-1250,7,+3 more
Shiv Vilas Garden,Marriage Garden / Lawns,Jaipur ,5.0,6 reviews,₹600per plate,1000-1500,,+2 more
Gazibo Jaipur,Marriage Garden / Lawns,Jaipur ,5.0,1 review,₹850per plate,1000-1300,,+2 more
Chandan Van,"Banquet Halls, Marriage Garden / Lawns","Sitapura, Jaipur ",5.0,1 review,"₹1,500per plate",1500-4500,,+2 more
GNH Convention,"Banquet Halls, Marriage Garden / Lawns","Sohna Road, Delhi NCR ",5.0,6 reviews,Price on Request,100-2000,12,+3 more
The Mayfair Grand,"Banquet Halls, Venues With Rooms",Delhi NCR ,5.0,3 reviews,"₹2,800per plate",100-1000,7,+3 more
Kantam Farmhouse,"Banquet Halls, Marriage Garden / Lawns",Delhi NCR ,4.6,4 reviews,"₹1,000per plate",100-500,6,+3 more
The Great Callina Banquet Hall,"Banquet Halls, Marriage Garden / Lawns","Sahibabad, Delhi NCR ",4.6,12 reviews,"₹1,400per plate",250-500,5,+4 more
Vardaan Grand,"4 Star & Above Wedding Hotels, Banquet Halls",Delhi NCR ,,5 reviews,"₹2,300per plate",20-1000,2,+3 more
Hotel Billionaire Inn,"Banquet Halls, 3 Star Hotels with Banquets","New Industrial Town, Delhi NCR ",5.0,6 reviews,"₹1,000per plate",100-250,21,+4 more
"CasaBella Banquet, Infocity",Banquet Halls,Delhi NCR ,5.0,5 reviews,"₹1,650per plate",120-200,,+2 more
Ganeshwaram Restaurant & Banquet 141,"Banquet Halls, 3 Star Hotels with Banquets",Delhi NCR ,5.0,1 review,"₹1,100per plate",90-150,30,+3 more
Nutmeg Events and Catering,Marriage Garden / Lawns,Delhi NCR ,5.0,12 reviews,"₹2,000per plate",80-250,4,+4 more
Ganeshwaram Restaurant & Banquet 149,"Banquet Halls, 3 Star Hotels with Banquets",Delhi NCR ,5.0,1 review,"₹2,000per plate",700-1000,75,+4 more
Flora Green Banquet,"Banquet Halls, Marriage Garden / Lawns","Palam Vihar, Delhi NCR ",5.0,1 review,"₹1,699per plate",20-1000,6,+4 more
Le Luxe Banquet & Farm,"Banquet Halls, Marriage Garden / Lawns","Gurgaon, Delhi NCR ",5.0,22 reviews,"₹2,100per plate",50-1000,30,+4 more
Club Beryl,"Banquet Halls, Marriage Garden / Lawns","Sector 50, Delhi NCR ",,13 reviews,"₹2,000per plate",80-500,17,+3 more
Notting Hills,"Banquet Halls, Marriage Garden / Lawns","Sector 17, Delhi NCR ",5.0,1 review,Price on Request,1000-1500,2,+3 more
Orsom Stays & Suites,"Banquet Halls, Marriage Garden / Lawns",Delhi NCR ,5.0,2 reviews,"₹1,200per plate",70-300,40,+4 more
"The Club, International City","Banquet Halls, Marriage Garden / Lawns",Delhi NCR ,,7 reviews,"₹2,200per plate",50-500,10,+4 more
Hollywood Dreams,"Banquet Halls, Small Function / Party Halls","Vasundhara, Delhi NCR ",,10 reviews,"₹2,000per plate",100-1100,2,+4 more
The Eliot Hotel & Banquet,"Banquet Halls, 3 Star Hotels with Banquets",Delhi NCR ,5.0,7 reviews,"₹1,400per plate",40-250,38,+4 more
"The Colors, Banquet Hall","Banquet Halls, Marriage Garden / Lawns",Delhi NCR ,5.0,2 reviews,"₹2,500per plate",80-700,5,+3 more
FM Garden,"Banquet Halls, Marriage Garden / Lawns","Noida, Delhi NCR ",,8 reviews,₹900per plate,300-600,3,+4 more
Muthu Hi-Way Resort,"Marriage Garden / Lawns, 3 Star Hotels with Banquets",Chennai ,5.0,1 review,Price on Request,390-600,15,+3 more
MGM Beach Resort,"Banquet Halls, Marriage Garden / Lawns","ECR East Coast Road, Chennai ",4.5,2 reviews,"₹1,100per plate",80-7000,83,+3 more
Palmshore Restaurant Koyambedu,Banquet Halls,"Koyambedu, Chennai ",5.0,1 review,Price on Request,200-300,,+2 more
Sri Ranga Marriage Hall,"Banquet Halls, Venues With Rooms","Ambattur, Chennai ",5.0,1 review,₹200per plate,200-500,2,+3 more
Dwaraka Palace,Banquet Halls,"Thiruvanmiyur, Chennai ",5.0,3 reviews,₹400per plate,500-1500,,+2 more
VGP Below Sea Level,Banquet Halls,"Choolai, Chennai ",5.0,1 review,"₹1,200per plate",70-200,,+2 more
Delight Party Hall,Banquet Halls,"Pattabiram, Chennai ",5.0,1 review,₹650per plate,120-200,,+3 more
G.P. Janarajan Marriage Hall,Banquet Halls,"Injambakkam, Chennai ",5.0,3 reviews,₹350per plate,450-700,,+2 more
Sri Lakshmi Mahal,Banquet Halls,"Adambakkam, Chennai ",5.0,1 review,₹300per plate,700-1050,,+2 more
Perunthalaivar Kamarajar Thirumana Mandapam,Banquet Halls,"Redhills, Chennai ",5.0,1 review,₹600per plate,150-200,,+3 more
Hotel Grand Palace,"Banquet Halls, 3 Star Hotels with Banquets","Chromepet, Chennai ",5.0,1 review,₹700per plate,250-400,36,+3 more
J S Grand Palace,"Banquet Halls, Marriage Garden / Lawns","Medavakkam, Chennai ",,1 review,₹500per plate,80-300,12,+3 more
VPMA's Captain Mahal,"Banquet Halls, Venues With Rooms","Tondiarpet, Chennai ",4.5,1 review,₹500per plate,700-1500,10,+3 more
Shyamala Hall,Banquet Halls,"West Mambalam, Chennai ",5.0,1 review,Price on Request,500-800,,+2 more
"Taj Club House, Chennai","4 Star & Above Wedding Hotels, Banquet Halls","Anna Salai, Chennai ",5.0,1 review,"₹1,600per plate",200-250,220,+3 more
Hilton Chennai,"4 Star & Above Wedding Hotels, Banquet Halls",Chennai ,4.9,5 reviews,"₹2,300per plate",1500-1800,204,+3 more
Aloft Chennai,"4 Star & Above Wedding Hotels, Banquet Halls",Chennai ,5.0,1 review,₹950per plate,950-950,130,+3 more
Pakwan Chennai,"Banquet Halls, Small Function / Party Halls","Parthasarathi, Chennai ",5.0,2 reviews,"₹1,050per plate",40-750,,+2 more
Kubera Banquets,"Banquet Halls, Small Function / Party Halls","GST Road, Chennai ",5.0,1 review,₹500per plate,80-400,,+2 more
Gazelle Garden Lawn Party Hall,"Banquet Halls, Marriage Garden / Lawns","Purasawakkam, Chennai ",5.0,1 review,₹175per plate,500-1000,,+3 more
Roofdine Restaurant & Banquets,"Banquet Halls, Convention / Function Halls","Viman Nagar, Pune ",5.0,1 review,Price on Request,410-600,,+2 more
"Utopia,The Royal Farmvilla","Marriage Garden / Lawns, Venues With Rooms","Pashan, Pune ",5.0,3 reviews,₹650per plate,150-200,4,+3 more
Loapalooza,Small Function / Party Halls,Pune ,5.0,1 review,₹550per plate,100-150,,+2 more
Bougainvilla Resort Park by Dream Villas,"Marriage Garden / Lawns, Wedding Resorts",Pune ,,,"1,300per plate",250-300,55,+3 more
