Name,Type,Location,Ratings,Reviews,Menu_Price,Pax,Rooms,Amenities
"Kalyan Mandap, Vikas Nagar",Marriage Garden / Lawns,Lucknow ,5.0,1 review,₹500per plate,380-600,,+2 more
Parinay Marriage Lawn,"Banquet Halls, Marriage Garden / Lawns","Jankipuram Extension, Lucknow ",5.0,1 review,₹600per plate,200-700,,+2 more
"JC Guesthouse, Lucknow","Banquet Halls, Marriage Garden / Lawns","Nirala Nagar, Lucknow ",,1 review,₹500per plate,,,+2 more
G S Lawn,"Banquet Halls, Marriage Garden / Lawns","Gomti Nagar, Lucknow ",,4 reviews,₹900per plate,45-500,,+2 more
Buddha Resort,Marriage Garden / Lawns,Lucknow ,5.0,1 review,₹500per plate,120-200,,+2 more
Shagun Vatika Lawn,"Banquet Halls, Convention / Function Halls","Indira Nagar, Lucknow ",4.5,1 review,₹500per plate,400-500,,+2 more
"Falakhnuma, Clarks Awadh, Lucknow","Banquet Halls, Venues With Rooms","Hazratganj, Lucknow ",,1 review,Price on Request,150-250,2,+3 more
Hilton Garden Inn,"4 Star & Above Wedding Hotels, Banquet Halls","Gomti Nagar, Lucknow ",,8 reviews,"₹2,300per plate",50-450,124,+3 more
Hotel The Golden Apple,"Banquet Halls, 3 Star Hotels with Banquets","Mahanagar, Lucknow ",5.0,2 reviews,"₹1,300per plate",70-400,33,+3 more
Hotel Starfield,"4 Star & Above Wedding Hotels, Banquet Halls",Lucknow ,,1 review,"₹2,50,000per function",250-500,10,+4 more
Le Delicacy,"Banquet Halls, Venues With Rooms",Lucknow ,,1 review,₹600per plate,600-600,20,+3 more
Kalyan Mandap,"Banquet Halls, Marriage Garden / Lawns","Mahanagar, Lucknow ",4.7,3 reviews,Price on Request,300-1000,,+2 more
Hotel Lineage,"Banquet Halls, Small Function / Party Halls","Gomti Nagar, Lucknow ",,8 reviews,"₹1,400per plate",90-300,,+2 more
The Hinga Marriage Lawn & Resort,"Banquet Halls, Marriage Garden / Lawns",Lucknow ,5.0,2 reviews,"₹1,000per plate",200-1500,11,+3 more
Favour Banquet,"Banquet Halls, Venues With Rooms","LDA Colony, Lucknow ",5.0,1 review,₹700per plate,200-350,3,+3 more
Club Gusto,"Banquet Halls, Venues With Rooms",Lucknow ,4.6,13 reviews,"₹1,650per plate",250-600,9,+3 more
Rajwada Lawns,"Banquet Halls, Marriage Garden / Lawns","Gomti Nagar, Lucknow ",5.0,4 reviews,₹800per plate,125-1500,,+2 more
