Name,Type,Ratings,Reviews,Menu_Price,Rooms,Pax_Min,Pax_Max,Destination,Amenities_+more
avm garden villa,"banquet halls, marriage garden / lawns",5.0,4,125000.0,21,120,800,chennai,3
sri ganesh thirumana mandapam,banquet halls,5.0,1,350.0,21,900,1350,chennai,2
"sorina hillside resort, sinhagad road","banquet halls, marriage garden / lawns",5.0,4,1050.0,120,100,1000,pune,3
istana,"banquet halls, 3 star hotels with banquets",5.0,1,1700.0,209,220,400,pune,3
"courtyard by marriott, hinjewadi","4 star & above wedding hotels, banquet halls",4.9,6,1650.0,153,1050,1200,pune,3
"g l apte sabhagruha, deccan gymkhana, pune","banquet halls, convention / function halls",5.0,1,350.0,21,400,600,pune,2
chokhi dhani,"banquet halls, marriage garden / lawns",5.0,1,350.0,40,350,2700,pune,3
sayaji,"4 star & above wedding hotels, 3 star hotels with banquets",5.0,5,700.0,21,700,800,pune,2
whispering woods resort,"marriage garden / lawns, wedding resorts",5.0,4,2500.0,31,60,3000,pune,3
bhagvati palace,"banquet halls, convention / function halls",5.0,6,350.0,21,350,350,pune,2
ganesh mangal karyalaya,banquet halls,5.0,1,50000.0,21,130,160,pune,3
four points by sheraton hotel pune,"4 star & above wedding hotels, banquet halls",4.5,11,1700.0,217,140,400,pune,2
della resort,"4 star & above wedding hotels, banquet halls",4.8,8,3000.0,21,200,500,pune,3
"dhanashree lawns, kunjirwadi","banquet halls, marriage garden / lawns",5.0,1,450.0,21,1000,3700,pune,2
avanti kalagram,"marriage garden / lawns, destination wedding venues",5.0,2,550.0,50,50,150,pune,3
"citrus , lonavala","banquet halls, marriage garden / lawns",5.0,1,900.0,35,150,200,pune,3
urban banquets,"banquet halls, venues with rooms",5.0,6,800.0,2,300,550,pune,4
"treasure island resorts, lonavala","banquet halls, wedding resorts",5.0,1,2000.0,97,150,600,pune,3
sanvi resort,wedding resorts,5.0,1,300.0,14,45,500,pune,3
hotel crossroad,"banquet halls, 3 star hotels with banquets",5.0,16,1200.0,21,200,500,lucknow,3
"haveli resort, kanpur road","banquet halls, marriage garden / lawns",5.0,1,100000.0,21,200,500,lucknow,2
legend inn,"banquet halls, 3 star hotels with banquets",4.7,31,900.0,36,200,200,lucknow,5
shimla resort lucknow,"banquet halls, marriage garden / lawns",4.7,5,1100.0,25,500,2000,lucknow,3
surestay by best western,"4 star & above wedding hotels, banquet halls",5.0,0,1100.0,30,150,250,lucknow,3
"the central hotel, lucknow","banquet halls, 3 star hotels with banquets",5.0,1,525.0,35,50,400,lucknow,3
madhurima hotel,"banquet halls, 3 star hotels with banquets",5.0,1,850.0,21,200,500,lucknow,2
hotel syona residency,"banquet halls, 3 star hotels with banquets",5.0,1,850.0,65,300,500,lucknow,3
"ramada, lucknow","4 star & above wedding hotels, banquet halls",4.7,9,3299.0,155,200,1000,lucknow,3
royal casa hotels and banquet,banquet halls,5.0,1,700.0,6,200,300,lucknow,3
geet paradise lawn,marriage garden / lawns,5.0,3,120000.0,2,700,1500,lucknow,4
shyam shanti guest house,banquet halls,5.0,0,680.0,21,200,500,lucknow,2
hotel millenia regency,"4 star & above wedding hotels, banquet halls",5.0,2,1000.0,60,90,200,lucknow,3
smriti banquet hall,"banquet halls, convention / function halls",5.0,1,800.0,7,50,600,lucknow,3
vaidik garden,"banquet halls, marriage garden / lawns",5.0,1,500.0,21,500,700,lucknow,2
hotel arif castles,"banquet halls, marriage garden / lawns",5.0,1,1250.0,21,200,500,lucknow,2
vivanta by taj lucknow,"4 star & above wedding hotels, banquet halls",5.0,2,1300.0,66,400,600,lucknow,3
hotel venus palace & lawn,"banquet halls, marriage garden / lawns",5.0,0,110000.0,8,450,500,lucknow,4
utopian luxe hotel,"banquet halls, 3 star hotels with banquets",5.0,1,1600.0,61,70,450,lucknow,3
hilton jaipur,"4 star & above wedding hotels, banquet halls",5.0,3,1500.0,21,200,500,jaipur,2
bhatia bhawan,"banquet halls, marriage garden / lawns",5.0,1,500.0,24,500,1600,jaipur,3
utsav grand banquet and lawns,"banquet halls, marriage garden / lawns",5.0,2,650.0,21,350,2000,jaipur,3
glorious resort,"banquet halls, marriage garden / lawns",5.0,2,700.0,35,600,3000,jaipur,3
the oberoi rajvilas,"4 star & above wedding hotels, banquet halls",5.0,2,3000.0,71,70,150,jaipur,3
samurai farms,marriage garden / lawns,5.0,1,850.0,21,1250,2000,jaipur,2
the palace by park jewels hotels and resorts,"4 star & above wedding hotels, banquet halls",4.9,7,2500.0,136,50,1000,jaipur,4
"sarovar premiere, jaipur","4 star & above wedding hotels, banquet halls",5.0,1,900.0,21,200,500,jaipur,2
maan palace,marriage garden / lawns,5.0,3,600000.0,21,800,1000,jaipur,3
leisure inn grand chanakya,"4 star & above wedding hotels, banquet halls",4.8,5,850.0,52,12,350,jaipur,3
hill side resort,"banquet halls, marriage garden / lawns",4.8,2,1000.0,21,200,500,jaipur,2
hotel mauj mahal,"banquet halls, marriage garden / lawns",5.0,1,1200.0,35,500,4500,jaipur,3
fairmont jaipur,"4 star & above wedding hotels, banquet halls",4.8,37,4300.0,245,500,700,jaipur,4
